task,dataset,model,device,runtime,precision,cell,metric,Q,chance,latency_ms,param_count,gmacs,source
LLM IFEval,IFEval,distilbert/distilgpt2,1xA10,pytorch,float16,llm-perf | 1xA10 | IFEval,IFEval,0.0611,0.0,249.0,0,,llm-perf-task
LLM MMLU-PRO,MMLU-PRO,Qwen/Qwen1.5-0.5B,1xA10,pytorch,float16,llm-perf | 1xA10 | MMLU-PRO,MMLU-PRO,0.03415,0.0,1245.0,0,,llm-perf-task
LLM ARC-Challenge,ARC-Challenge,google/gemma-2b,1xA10,pytorch,float16,llm-perf | 1xA10 | ARC-Challenge,ARC-Challenge,0.4842,0.25,1250.0,2,,llm-perf-task
LLM HellaSwag,HellaSwag,google/gemma-2b,1xA10,pytorch,float16,llm-perf | 1xA10 | HellaSwag,HellaSwag,0.7171,0.25,1250.0,2,,llm-perf-task
LLM MMLU,MMLU,google/gemma-2b,1xA10,pytorch,float16,llm-perf | 1xA10 | MMLU,MMLU,0.41725,0.25,1250.0,2,,llm-perf-task
LLM Winogrande,Winogrande,google/gemma-2b,1xA10,pytorch,float16,llm-perf | 1xA10 | Winogrande,Winogrande,0.66535,0.5,1250.0,2,,llm-perf-task
LLM GSM8K,GSM8K,google/gemma-2b,1xA10,pytorch,float16,llm-perf | 1xA10 | GSM8K,GSM8K,0.17135,0.0,1250.0,2,,llm-perf-task
LLM IFEval,IFEval,google/gemma-2b,1xA10,pytorch,float16,llm-perf | 1xA10 | IFEval,IFEval,0.203758,0.0,1250.0,2,,llm-perf-task
LLM BBH,BBH,google/gemma-2b,1xA10,pytorch,float16,llm-perf | 1xA10 | BBH,BBH,0.082463,0.0,1250.0,2,,llm-perf-task
LLM MATH Lvl 5,MATH Lvl 5,google/gemma-2b,1xA10,pytorch,float16,llm-perf | 1xA10 | MATH Lvl 5,MATH Lvl 5,0.030211,0.0,1250.0,2,,llm-perf-task
LLM GPQA,GPQA,google/gemma-2b,1xA10,pytorch,float16,llm-perf | 1xA10 | GPQA,GPQA,0.006711,0.0,1250.0,2,,llm-perf-task
LLM MuSR,MuSR,google/gemma-2b,1xA10,pytorch,float16,llm-perf | 1xA10 | MuSR,MuSR,0.07556,0.0,1250.0,2,,llm-perf-task
LLM MMLU-PRO,MMLU-PRO,google/gemma-2b,1xA10,pytorch,float16,llm-perf | 1xA10 | MMLU-PRO,MMLU-PRO,0.040614,0.0,1250.0,2,,llm-perf-task
LLM ARC-Challenge,ARC-Challenge,microsoft/phi-1_5,1xA10,pytorch,bfloat16,llm-perf | 1xA10 | ARC-Challenge,ARC-Challenge,0.529,0.25,1250.0,1,,llm-perf-task
LLM HellaSwag,HellaSwag,microsoft/phi-1_5,1xA10,pytorch,bfloat16,llm-perf | 1xA10 | HellaSwag,HellaSwag,0.6379,0.25,1250.0,1,,llm-perf-task
LLM MMLU,MMLU,microsoft/phi-1_5,1xA10,pytorch,bfloat16,llm-perf | 1xA10 | MMLU,MMLU,0.4389,0.25,1250.0,1,,llm-perf-task
LLM Winogrande,Winogrande,microsoft/phi-1_5,1xA10,pytorch,bfloat16,llm-perf | 1xA10 | Winogrande,Winogrande,0.7222,0.5,1250.0,1,,llm-perf-task
LLM GSM8K,GSM8K,microsoft/phi-1_5,1xA10,pytorch,bfloat16,llm-perf | 1xA10 | GSM8K,GSM8K,0.1243,0.0,1250.0,1,,llm-perf-task
LLM IFEval,IFEval,microsoft/phi-1_5,1xA10,pytorch,bfloat16,llm-perf | 1xA10 | IFEval,IFEval,0.203284,0.0,1250.0,1,,llm-perf-task
LLM BBH,BBH,microsoft/phi-1_5,1xA10,pytorch,bfloat16,llm-perf | 1xA10 | BBH,BBH,0.074689,0.0,1250.0,1,,llm-perf-task
LLM MATH Lvl 5,MATH Lvl 5,microsoft/phi-1_5,1xA10,pytorch,bfloat16,llm-perf | 1xA10 | MATH Lvl 5,MATH Lvl 5,0.018127,0.0,1250.0,1,,llm-perf-task
LLM GPQA,GPQA,microsoft/phi-1_5,1xA10,pytorch,bfloat16,llm-perf | 1xA10 | GPQA,GPQA,0.02349,0.0,1250.0,1,,llm-perf-task
LLM MuSR,MuSR,microsoft/phi-1_5,1xA10,pytorch,bfloat16,llm-perf | 1xA10 | MuSR,MuSR,0.033854,0.0,1250.0,1,,llm-perf-task
LLM MMLU-PRO,MMLU-PRO,microsoft/phi-1_5,1xA10,pytorch,bfloat16,llm-perf | 1xA10 | MMLU-PRO,MMLU-PRO,0.076814,0.0,1250.0,1,,llm-perf-task
LLM ARC-Challenge,ARC-Challenge,EleutherAI/gpt-neo-2.7B,1xA10,pytorch,float16,llm-perf | 1xA10 | ARC-Challenge,ARC-Challenge,0.3336,0.25,1254.0,2,,llm-perf-task
LLM HellaSwag,HellaSwag,EleutherAI/gpt-neo-2.7B,1xA10,pytorch,float16,llm-perf | 1xA10 | HellaSwag,HellaSwag,0.5624,0.25,1254.0,2,,llm-perf-task
LLM MMLU,MMLU,EleutherAI/gpt-neo-2.7B,1xA10,pytorch,float16,llm-perf | 1xA10 | MMLU,MMLU,0.2645,0.25,1254.0,2,,llm-perf-task
LLM Winogrande,Winogrande,EleutherAI/gpt-neo-2.7B,1xA10,pytorch,float16,llm-perf | 1xA10 | Winogrande,Winogrande,0.6006,0.5,1254.0,2,,llm-perf-task
LLM GSM8K,GSM8K,EleutherAI/gpt-neo-2.7B,1xA10,pytorch,float16,llm-perf | 1xA10 | GSM8K,GSM8K,0.0129,0.0,1254.0,2,,llm-perf-task
LLM IFEval,IFEval,EleutherAI/gpt-neo-2.7B,1xA10,pytorch,float16,llm-perf | 1xA10 | IFEval,IFEval,0.258963,0.0,1254.0,2,,llm-perf-task
LLM BBH,BBH,EleutherAI/gpt-neo-2.7B,1xA10,pytorch,float16,llm-perf | 1xA10 | BBH,BBH,0.041786,0.0,1254.0,2,,llm-perf-task
LLM MATH Lvl 5,MATH Lvl 5,EleutherAI/gpt-neo-2.7B,1xA10,pytorch,float16,llm-perf | 1xA10 | MATH Lvl 5,MATH Lvl 5,0.010574,0.0,1254.0,2,,llm-perf-task
LLM GPQA,GPQA,EleutherAI/gpt-neo-2.7B,1xA10,pytorch,float16,llm-perf | 1xA10 | GPQA,GPQA,0.021253,0.0,1254.0,2,,llm-perf-task
LLM MuSR,MuSR,EleutherAI/gpt-neo-2.7B,1xA10,pytorch,float16,llm-perf | 1xA10 | MuSR,MuSR,0.035206,0.0,1254.0,2,,llm-perf-task
LLM MMLU-PRO,MMLU-PRO,EleutherAI/gpt-neo-2.7B,1xA10,pytorch,float16,llm-perf | 1xA10 | MMLU-PRO,MMLU-PRO,0.018081,0.0,1254.0,2,,llm-perf-task
LLM ARC-Challenge,ARC-Challenge,Qwen/Qwen2-0.5B,1xA10,pytorch,float32,llm-perf | 1xA10 | ARC-Challenge,ARC-Challenge,0.3191,0.25,1255.0,0,,llm-perf-task
LLM HellaSwag,HellaSwag,Qwen/Qwen2-0.5B,1xA10,pytorch,float32,llm-perf | 1xA10 | HellaSwag,HellaSwag,0.4874,0.25,1255.0,0,,llm-perf-task
LLM MMLU,MMLU,Qwen/Qwen2-0.5B,1xA10,pytorch,float32,llm-perf | 1xA10 | MMLU,MMLU,0.4517,0.25,1255.0,0,,llm-perf-task
LLM Winogrande,Winogrande,Qwen/Qwen2-0.5B,1xA10,pytorch,float32,llm-perf | 1xA10 | Winogrande,Winogrande,0.558,0.5,1255.0,0,,llm-perf-task
LLM GSM8K,GSM8K,Qwen/Qwen2-0.5B,1xA10,pytorch,float32,llm-perf | 1xA10 | GSM8K,GSM8K,0.3571,0.0,1255.0,0,,llm-perf-task
LLM IFEval,IFEval,Qwen/Qwen2-0.5B,1xA10,pytorch,float32,llm-perf | 1xA10 | IFEval,IFEval,0.187322,0.0,1255.0,0,,llm-perf-task
LLM BBH,BBH,Qwen/Qwen2-0.5B,1xA10,pytorch,float32,llm-perf | 1xA10 | BBH,BBH,0.079185,0.0,1255.0,0,,llm-perf-task
LLM MATH Lvl 5,MATH Lvl 5,Qwen/Qwen2-0.5B,1xA10,pytorch,float32,llm-perf | 1xA10 | MATH Lvl 5,MATH Lvl 5,0.026435,0.0,1255.0,0,,llm-perf-task
LLM GPQA,GPQA,Qwen/Qwen2-0.5B,1xA10,pytorch,float32,llm-perf | 1xA10 | GPQA,GPQA,0.014541,0.0,1255.0,0,,llm-perf-task
LLM MuSR,MuSR,Qwen/Qwen2-0.5B,1xA10,pytorch,float32,llm-perf | 1xA10 | MuSR,MuSR,0.04601,0.0,1255.0,0,,llm-perf-task
LLM MMLU-PRO,MMLU-PRO,Qwen/Qwen2-0.5B,1xA10,pytorch,float32,llm-perf | 1xA10 | MMLU-PRO,MMLU-PRO,0.079953,0.0,1255.0,0,,llm-perf-task
LLM ARC-Challenge,ARC-Challenge,Qwen/Qwen1.5-1.8B,1xA10,pytorch,float16,llm-perf | 1xA10 | ARC-Challenge,ARC-Challenge,0.3788,0.25,1256.0,1,,llm-perf-task
LLM HellaSwag,HellaSwag,Qwen/Qwen1.5-1.8B,1xA10,pytorch,float16,llm-perf | 1xA10 | HellaSwag,HellaSwag,0.6142,0.25,1256.0,1,,llm-perf-task
LLM MMLU,MMLU,Qwen/Qwen1.5-1.8B,1xA10,pytorch,float16,llm-perf | 1xA10 | MMLU,MMLU,0.4671,0.25,1256.0,1,,llm-perf-task
LLM Winogrande,Winogrande,Qwen/Qwen1.5-1.8B,1xA10,pytorch,float16,llm-perf | 1xA10 | Winogrande,Winogrande,0.603,0.5,1256.0,1,,llm-perf-task
LLM GSM8K,GSM8K,Qwen/Qwen1.5-1.8B,1xA10,pytorch,float16,llm-perf | 1xA10 | GSM8K,GSM8K,0.3359,0.0,1256.0,1,,llm-perf-task
LLM IFEval,IFEval,Qwen/Qwen1.5-1.8B,1xA10,pytorch,float16,llm-perf | 1xA10 | IFEval,IFEval,0.215424,0.0,1256.0,1,,llm-perf-task
LLM BBH,BBH,Qwen/Qwen1.5-1.8B,1xA10,pytorch,float16,llm-perf | 1xA10 | BBH,BBH,0.097599,0.0,1256.0,1,,llm-perf-task
LLM MATH Lvl 5,MATH Lvl 5,Qwen/Qwen1.5-1.8B,1xA10,pytorch,float16,llm-perf | 1xA10 | MATH Lvl 5,MATH Lvl 5,0.031722,0.0,1256.0,1,,llm-perf-task
LLM GPQA,GPQA,Qwen/Qwen1.5-1.8B,1xA10,pytorch,float16,llm-perf | 1xA10 | GPQA,GPQA,0.073826,0.0,1256.0,1,,llm-perf-task
LLM MuSR,MuSR,Qwen/Qwen1.5-1.8B,1xA10,pytorch,float16,llm-perf | 1xA10 | MuSR,MuSR,0.039638,0.0,1256.0,1,,llm-perf-task
LLM MMLU-PRO,MMLU-PRO,Qwen/Qwen1.5-1.8B,1xA10,pytorch,float16,llm-perf | 1xA10 | MMLU-PRO,MMLU-PRO,0.097961,0.0,1256.0,1,,llm-perf-task
LLM ARC-Challenge,ARC-Challenge,google/gemma-2b,1xA10,pytorch,float16,llm-perf | 1xA10 | ARC-Challenge,ARC-Challenge,0.4842,0.25,1257.0,2,,llm-perf-task
LLM HellaSwag,HellaSwag,google/gemma-2b,1xA10,pytorch,float16,llm-perf | 1xA10 | HellaSwag,HellaSwag,0.7171,0.25,1257.0,2,,llm-perf-task
LLM MMLU,MMLU,google/gemma-2b,1xA10,pytorch,float16,llm-perf | 1xA10 | MMLU,MMLU,0.41725,0.25,1257.0,2,,llm-perf-task
LLM Winogrande,Winogrande,google/gemma-2b,1xA10,pytorch,float16,llm-perf | 1xA10 | Winogrande,Winogrande,0.66535,0.5,1257.0,2,,llm-perf-task
LLM GSM8K,GSM8K,google/gemma-2b,1xA10,pytorch,float16,llm-perf | 1xA10 | GSM8K,GSM8K,0.17135,0.0,1257.0,2,,llm-perf-task
LLM IFEval,IFEval,google/gemma-2b,1xA10,pytorch,float16,llm-perf | 1xA10 | IFEval,IFEval,0.203758,0.0,1257.0,2,,llm-perf-task
LLM BBH,BBH,google/gemma-2b,1xA10,pytorch,float16,llm-perf | 1xA10 | BBH,BBH,0.082463,0.0,1257.0,2,,llm-perf-task
LLM MATH Lvl 5,MATH Lvl 5,google/gemma-2b,1xA10,pytorch,float16,llm-perf | 1xA10 | MATH Lvl 5,MATH Lvl 5,0.030211,0.0,1257.0,2,,llm-perf-task
LLM GPQA,GPQA,google/gemma-2b,1xA10,pytorch,float16,llm-perf | 1xA10 | GPQA,GPQA,0.006711,0.0,1257.0,2,,llm-perf-task
LLM MuSR,MuSR,google/gemma-2b,1xA10,pytorch,float16,llm-perf | 1xA10 | MuSR,MuSR,0.07556,0.0,1257.0,2,,llm-perf-task
LLM MMLU-PRO,MMLU-PRO,google/gemma-2b,1xA10,pytorch,float16,llm-perf | 1xA10 | MMLU-PRO,MMLU-PRO,0.040614,0.0,1257.0,2,,llm-perf-task
LLM ARC-Challenge,ARC-Challenge,stabilityai/stablelm-2-1_6b,1xA10,pytorch,float16,llm-perf | 1xA10 | ARC-Challenge,ARC-Challenge,0.4334,0.25,1257.0,1,,llm-perf-task
LLM HellaSwag,HellaSwag,stabilityai/stablelm-2-1_6b,1xA10,pytorch,float16,llm-perf | 1xA10 | HellaSwag,HellaSwag,0.7045,0.25,1257.0,1,,llm-perf-task
LLM MMLU,MMLU,stabilityai/stablelm-2-1_6b,1xA10,pytorch,float16,llm-perf | 1xA10 | MMLU,MMLU,0.3895,0.25,1257.0,1,,llm-perf-task
LLM Winogrande,Winogrande,stabilityai/stablelm-2-1_6b,1xA10,pytorch,float16,llm-perf | 1xA10 | Winogrande,Winogrande,0.6456,0.5,1257.0,1,,llm-perf-task
LLM GSM8K,GSM8K,stabilityai/stablelm-2-1_6b,1xA10,pytorch,float16,llm-perf | 1xA10 | GSM8K,GSM8K,0.1744,0.0,1257.0,1,,llm-perf-task
LLM IFEval,IFEval,stabilityai/stablelm-2-1_6b,1xA10,pytorch,float16,llm-perf | 1xA10 | IFEval,IFEval,0.115705,0.0,1257.0,1,,llm-perf-task
LLM BBH,BBH,stabilityai/stablelm-2-1_6b,1xA10,pytorch,float16,llm-perf | 1xA10 | BBH,BBH,0.086327,0.0,1257.0,1,,llm-perf-task
LLM MATH Lvl 5,MATH Lvl 5,stabilityai/stablelm-2-1_6b,1xA10,pytorch,float16,llm-perf | 1xA10 | MATH Lvl 5,MATH Lvl 5,0.007553,0.0,1257.0,1,,llm-perf-task
LLM MuSR,MuSR,stabilityai/stablelm-2-1_6b,1xA10,pytorch,float16,llm-perf | 1xA10 | MuSR,MuSR,0.057914,0.0,1257.0,1,,llm-perf-task
LLM MMLU-PRO,MMLU-PRO,stabilityai/stablelm-2-1_6b,1xA10,pytorch,float16,llm-perf | 1xA10 | MMLU-PRO,MMLU-PRO,0.051511,0.0,1257.0,1,,llm-perf-task
LLM ARC-Challenge,ARC-Challenge,Qwen/Qwen1.5-0.5B,1xA10,pytorch,float32,llm-perf | 1xA10 | ARC-Challenge,ARC-Challenge,0.3148,0.25,1258.0,0,,llm-perf-task
LLM HellaSwag,HellaSwag,Qwen/Qwen1.5-0.5B,1xA10,pytorch,float32,llm-perf | 1xA10 | HellaSwag,HellaSwag,0.4905,0.25,1258.0,0,,llm-perf-task
LLM MMLU,MMLU,Qwen/Qwen1.5-0.5B,1xA10,pytorch,float32,llm-perf | 1xA10 | MMLU,MMLU,0.3935,0.25,1258.0,0,,llm-perf-task
LLM Winogrande,Winogrande,Qwen/Qwen1.5-0.5B,1xA10,pytorch,float32,llm-perf | 1xA10 | Winogrande,Winogrande,0.5722,0.5,1258.0,0,,llm-perf-task
LLM GSM8K,GSM8K,Qwen/Qwen1.5-0.5B,1xA10,pytorch,float32,llm-perf | 1xA10 | GSM8K,GSM8K,0.163,0.0,1258.0,0,,llm-perf-task
LLM IFEval,IFEval,Qwen/Qwen1.5-0.5B,1xA10,pytorch,float32,llm-perf | 1xA10 | IFEval,IFEval,0.170561,0.0,1258.0,0,,llm-perf-task
LLM BBH,BBH,Qwen/Qwen1.5-0.5B,1xA10,pytorch,float32,llm-perf | 1xA10 | BBH,BBH,0.050355,0.0,1258.0,0,,llm-perf-task
LLM MATH Lvl 5,MATH Lvl 5,Qwen/Qwen1.5-0.5B,1xA10,pytorch,float32,llm-perf | 1xA10 | MATH Lvl 5,MATH Lvl 5,0.017372,0.0,1258.0,0,,llm-perf-task
LLM GPQA,GPQA,Qwen/Qwen1.5-0.5B,1xA10,pytorch,float32,llm-perf | 1xA10 | GPQA,GPQA,0.005593,0.0,1258.0,0,,llm-perf-task
LLM MuSR,MuSR,Qwen/Qwen1.5-0.5B,1xA10,pytorch,float32,llm-perf | 1xA10 | MuSR,MuSR,0.043031,0.0,1258.0,0,,llm-perf-task
LLM MMLU-PRO,MMLU-PRO,Qwen/Qwen1.5-0.5B,1xA10,pytorch,float32,llm-perf | 1xA10 | MMLU-PRO,MMLU-PRO,0.03415,0.0,1258.0,0,,llm-perf-task
LLM ARC-Challenge,ARC-Challenge,EleutherAI/gpt-neo-2.7B,1xA10,pytorch,bfloat16,llm-perf | 1xA10 | ARC-Challenge,ARC-Challenge,0.3336,0.25,1259.0,2,,llm-perf-task
LLM HellaSwag,HellaSwag,EleutherAI/gpt-neo-2.7B,1xA10,pytorch,bfloat16,llm-perf | 1xA10 | HellaSwag,HellaSwag,0.5624,0.25,1259.0,2,,llm-perf-task
LLM MMLU,MMLU,EleutherAI/gpt-neo-2.7B,1xA10,pytorch,bfloat16,llm-perf | 1xA10 | MMLU,MMLU,0.2645,0.25,1259.0,2,,llm-perf-task
LLM Winogrande,Winogrande,EleutherAI/gpt-neo-2.7B,1xA10,pytorch,bfloat16,llm-perf | 1xA10 | Winogrande,Winogrande,0.6006,0.5,1259.0,2,,llm-perf-task
LLM GSM8K,GSM8K,EleutherAI/gpt-neo-2.7B,1xA10,pytorch,bfloat16,llm-perf | 1xA10 | GSM8K,GSM8K,0.0129,0.0,1259.0,2,,llm-perf-task
LLM IFEval,IFEval,EleutherAI/gpt-neo-2.7B,1xA10,pytorch,bfloat16,llm-perf | 1xA10 | IFEval,IFEval,0.258963,0.0,1259.0,2,,llm-perf-task
LLM BBH,BBH,EleutherAI/gpt-neo-2.7B,1xA10,pytorch,bfloat16,llm-perf | 1xA10 | BBH,BBH,0.041786,0.0,1259.0,2,,llm-perf-task
LLM MATH Lvl 5,MATH Lvl 5,EleutherAI/gpt-neo-2.7B,1xA10,pytorch,bfloat16,llm-perf | 1xA10 | MATH Lvl 5,MATH Lvl 5,0.010574,0.0,1259.0,2,,llm-perf-task
LLM GPQA,GPQA,EleutherAI/gpt-neo-2.7B,1xA10,pytorch,bfloat16,llm-perf | 1xA10 | GPQA,GPQA,0.021253,0.0,1259.0,2,,llm-perf-task
LLM MuSR,MuSR,EleutherAI/gpt-neo-2.7B,1xA10,pytorch,bfloat16,llm-perf | 1xA10 | MuSR,MuSR,0.035206,0.0,1259.0,2,,llm-perf-task
LLM MMLU-PRO,MMLU-PRO,EleutherAI/gpt-neo-2.7B,1xA10,pytorch,bfloat16,llm-perf | 1xA10 | MMLU-PRO,MMLU-PRO,0.018081,0.0,1259.0,2,,llm-perf-task
LLM ARC-Challenge,ARC-Challenge,microsoft/phi-1_5,1xA10,pytorch,float16,llm-perf | 1xA10 | ARC-Challenge,ARC-Challenge,0.529,0.25,1260.0,1,,llm-perf-task
LLM HellaSwag,HellaSwag,microsoft/phi-1_5,1xA10,pytorch,float16,llm-perf | 1xA10 | HellaSwag,HellaSwag,0.6379,0.25,1260.0,1,,llm-perf-task
LLM MMLU,MMLU,microsoft/phi-1_5,1xA10,pytorch,float16,llm-perf | 1xA10 | MMLU,MMLU,0.4389,0.25,1260.0,1,,llm-perf-task
LLM Winogrande,Winogrande,microsoft/phi-1_5,1xA10,pytorch,float16,llm-perf | 1xA10 | Winogrande,Winogrande,0.7222,0.5,1260.0,1,,llm-perf-task
LLM GSM8K,GSM8K,microsoft/phi-1_5,1xA10,pytorch,float16,llm-perf | 1xA10 | GSM8K,GSM8K,0.1243,0.0,1260.0,1,,llm-perf-task
LLM IFEval,IFEval,microsoft/phi-1_5,1xA10,pytorch,float16,llm-perf | 1xA10 | IFEval,IFEval,0.203284,0.0,1260.0,1,,llm-perf-task
LLM BBH,BBH,microsoft/phi-1_5,1xA10,pytorch,float16,llm-perf | 1xA10 | BBH,BBH,0.074689,0.0,1260.0,1,,llm-perf-task
LLM MATH Lvl 5,MATH Lvl 5,microsoft/phi-1_5,1xA10,pytorch,float16,llm-perf | 1xA10 | MATH Lvl 5,MATH Lvl 5,0.018127,0.0,1260.0,1,,llm-perf-task
LLM GPQA,GPQA,microsoft/phi-1_5,1xA10,pytorch,float16,llm-perf | 1xA10 | GPQA,GPQA,0.02349,0.0,1260.0,1,,llm-perf-task
LLM MuSR,MuSR,microsoft/phi-1_5,1xA10,pytorch,float16,llm-perf | 1xA10 | MuSR,MuSR,0.033854,0.0,1260.0,1,,llm-perf-task
LLM MMLU-PRO,MMLU-PRO,microsoft/phi-1_5,1xA10,pytorch,float16,llm-perf | 1xA10 | MMLU-PRO,MMLU-PRO,0.076814,0.0,1260.0,1,,llm-perf-task
LLM ARC-Challenge,ARC-Challenge,EleutherAI/pythia-410m,1xA10,pytorch,float16,llm-perf | 1xA10 | ARC-Challenge,ARC-Challenge,0.2619,0.25,1261.0,0,,llm-perf-task
LLM HellaSwag,HellaSwag,EleutherAI/pythia-410m,1xA10,pytorch,float16,llm-perf | 1xA10 | HellaSwag,HellaSwag,0.4085,0.25,1261.0,0,,llm-perf-task
LLM MMLU,MMLU,EleutherAI/pythia-410m,1xA10,pytorch,float16,llm-perf | 1xA10 | MMLU,MMLU,0.2725,0.25,1261.0,0,,llm-perf-task
LLM Winogrande,Winogrande,EleutherAI/pythia-410m,1xA10,pytorch,float16,llm-perf | 1xA10 | Winogrande,Winogrande,0.5312,0.5,1261.0,0,,llm-perf-task
LLM GSM8K,GSM8K,EleutherAI/pythia-410m,1xA10,pytorch,float16,llm-perf | 1xA10 | GSM8K,GSM8K,0.0068,0.0,1261.0,0,,llm-perf-task
LLM IFEval,IFEval,EleutherAI/pythia-410m,1xA10,pytorch,float16,llm-perf | 1xA10 | IFEval,IFEval,0.219545,0.0,1261.0,0,,llm-perf-task
LLM BBH,BBH,EleutherAI/pythia-410m,1xA10,pytorch,float16,llm-perf | 1xA10 | BBH,BBH,0.027154,0.0,1261.0,0,,llm-perf-task
LLM MATH Lvl 5,MATH Lvl 5,EleutherAI/pythia-410m,1xA10,pytorch,float16,llm-perf | 1xA10 | MATH Lvl 5,MATH Lvl 5,0.009819,0.0,1261.0,0,,llm-perf-task
LLM GPQA,GPQA,EleutherAI/pythia-410m,1xA10,pytorch,float16,llm-perf | 1xA10 | GPQA,GPQA,0.012304,0.0,1261.0,0,,llm-perf-task
LLM MuSR,MuSR,EleutherAI/pythia-410m,1xA10,pytorch,float16,llm-perf | 1xA10 | MuSR,MuSR,0.030599,0.0,1261.0,0,,llm-perf-task
LLM MMLU-PRO,MMLU-PRO,EleutherAI/pythia-410m,1xA10,pytorch,float16,llm-perf | 1xA10 | MMLU-PRO,MMLU-PRO,0.014203,0.0,1261.0,0,,llm-perf-task
LLM ARC-Challenge,ARC-Challenge,Qwen/Qwen1.5-0.5B,1xA10,pytorch,float16,llm-perf | 1xA10 | ARC-Challenge,ARC-Challenge,0.3148,0.25,1263.0,0,,llm-perf-task
LLM HellaSwag,HellaSwag,Qwen/Qwen1.5-0.5B,1xA10,pytorch,float16,llm-perf | 1xA10 | HellaSwag,HellaSwag,0.4905,0.25,1263.0,0,,llm-perf-task
LLM MMLU,MMLU,Qwen/Qwen1.5-0.5B,1xA10,pytorch,float16,llm-perf | 1xA10 | MMLU,MMLU,0.3935,0.25,1263.0,0,,llm-perf-task
LLM Winogrande,Winogrande,Qwen/Qwen1.5-0.5B,1xA10,pytorch,float16,llm-perf | 1xA10 | Winogrande,Winogrande,0.5722,0.5,1263.0,0,,llm-perf-task
LLM GSM8K,GSM8K,Qwen/Qwen1.5-0.5B,1xA10,pytorch,float16,llm-perf | 1xA10 | GSM8K,GSM8K,0.163,0.0,1263.0,0,,llm-perf-task
LLM IFEval,IFEval,Qwen/Qwen1.5-0.5B,1xA10,pytorch,float16,llm-perf | 1xA10 | IFEval,IFEval,0.170561,0.0,1263.0,0,,llm-perf-task
LLM BBH,BBH,Qwen/Qwen1.5-0.5B,1xA10,pytorch,float16,llm-perf | 1xA10 | BBH,BBH,0.050355,0.0,1263.0,0,,llm-perf-task
LLM MATH Lvl 5,MATH Lvl 5,Qwen/Qwen1.5-0.5B,1xA10,pytorch,float16,llm-perf | 1xA10 | MATH Lvl 5,MATH Lvl 5,0.017372,0.0,1263.0,0,,llm-perf-task
LLM GPQA,GPQA,Qwen/Qwen1.5-0.5B,1xA10,pytorch,float16,llm-perf | 1xA10 | GPQA,GPQA,0.005593,0.0,1263.0,0,,llm-perf-task
LLM MuSR,MuSR,Qwen/Qwen1.5-0.5B,1xA10,pytorch,float16,llm-perf | 1xA10 | MuSR,MuSR,0.043031,0.0,1263.0,0,,llm-perf-task
LLM MMLU-PRO,MMLU-PRO,Qwen/Qwen1.5-0.5B,1xA10,pytorch,float16,llm-perf | 1xA10 | MMLU-PRO,MMLU-PRO,0.03415,0.0,1263.0,0,,llm-perf-task
LLM ARC-Challenge,ARC-Challenge,Qwen/Qwen1.5-1.8B,1xA10,pytorch,float32,llm-perf | 1xA10 | ARC-Challenge,ARC-Challenge,0.3788,0.25,1266.0,1,,llm-perf-task
LLM HellaSwag,HellaSwag,Qwen/Qwen1.5-1.8B,1xA10,pytorch,float32,llm-perf | 1xA10 | HellaSwag,HellaSwag,0.6142,0.25,1266.0,1,,llm-perf-task
LLM MMLU,MMLU,Qwen/Qwen1.5-1.8B,1xA10,pytorch,float32,llm-perf | 1xA10 | MMLU,MMLU,0.4671,0.25,1266.0,1,,llm-perf-task
LLM Winogrande,Winogrande,Qwen/Qwen1.5-1.8B,1xA10,pytorch,float32,llm-perf | 1xA10 | Winogrande,Winogrande,0.603,0.5,1266.0,1,,llm-perf-task
LLM GSM8K,GSM8K,Qwen/Qwen1.5-1.8B,1xA10,pytorch,float32,llm-perf | 1xA10 | GSM8K,GSM8K,0.3359,0.0,1266.0,1,,llm-perf-task
LLM IFEval,IFEval,Qwen/Qwen1.5-1.8B,1xA10,pytorch,float32,llm-perf | 1xA10 | IFEval,IFEval,0.215424,0.0,1266.0,1,,llm-perf-task
LLM BBH,BBH,Qwen/Qwen1.5-1.8B,1xA10,pytorch,float32,llm-perf | 1xA10 | BBH,BBH,0.097599,0.0,1266.0,1,,llm-perf-task
LLM MATH Lvl 5,MATH Lvl 5,Qwen/Qwen1.5-1.8B,1xA10,pytorch,float32,llm-perf | 1xA10 | MATH Lvl 5,MATH Lvl 5,0.031722,0.0,1266.0,1,,llm-perf-task
LLM GPQA,GPQA,Qwen/Qwen1.5-1.8B,1xA10,pytorch,float32,llm-perf | 1xA10 | GPQA,GPQA,0.073826,0.0,1266.0,1,,llm-perf-task
LLM MuSR,MuSR,Qwen/Qwen1.5-1.8B,1xA10,pytorch,float32,llm-perf | 1xA10 | MuSR,MuSR,0.039638,0.0,1266.0,1,,llm-perf-task
LLM MMLU-PRO,MMLU-PRO,Qwen/Qwen1.5-1.8B,1xA10,pytorch,float32,llm-perf | 1xA10 | MMLU-PRO,MMLU-PRO,0.097961,0.0,1266.0,1,,llm-perf-task
LLM ARC-Challenge,ARC-Challenge,Qwen/Qwen1.5-1.8B,1xA10,pytorch,float16,llm-perf | 1xA10 | ARC-Challenge,ARC-Challenge,0.3788,0.25,1270.0,1,,llm-perf-task
